Rank,Journal Name,Abbreviated Journal,Publisher,JIF,5-Year JIF,JIF Without Self-Cites,JCI,JIF Quartile,Category,ISSN,eISSN,Total Cites,Total Articles,Citable Items,Cited Half-Life,Citing Half-Life,JIF Rank
11211,Iranian Journal of Science and Technology Transaction A-Science,IRAN J SCI TECHNOL A,SPRINGER INT PUBL AG,1.4,1.3,1.4,0.57,Q3,MULTIDISCIPLINARY SCIENCES|Q2|64/134,1028-6276,2364-1819,1773,0,0,5.2,N/A,68/135
11211,JASA Express Letters,JASA EXPRESS LETT,AIP Publishing,1.4,1.3,1.4,0.57,Q3,AUDIOLOGY & SPEECH-LANGUAGE PATHOLOGY|Q3|22/35,N/A,2691-1191,600,123,123,2.5,11.4,19/35
11211,TRANSACTIONS OF THE AMERICAN FISHERIES SOCIETY,T AM FISH SOC,OXFORD UNIV PRESS,1.4,1.6,1.3,0.57,Q3,FISHERIES|Q2|23/62,0002-8487,1548-8659,5986,42,42,19.9,12.7,37/61
11211,VETERINARY IMMUNOLOGY AND IMMUNOPATHOLOGY,VET IMMUNOL IMMUNOP,ELSEVIER,1.4,1.6,1.3,0.57,Q2,VETERINARY SCIENCES|Q2|73/167,0165-2427,1873-2534,5564,73,75,14.9,10.2,76/170
11211,Acta Montanistica Slovaca,ACTA MONTAN SLOVACA,BERG FAC TECHNICAL UNIV KOSICE,1.4,2.2,1.4,0.56,Q3,MINING & MINERAL PROCESSING|Q2|11/31,1335-1788,N/A,918,60,61,3.8,5.6,20/33
11211,Annales de l Institut Henri Poincare D,ANN I H POINCARE D,EUROPEAN MATHEMATICAL SOC-EMS,1.4,1.5,1.4,0.56,Q3,"PHYSICS, MATHEMATICAL|Q2|27/60",2308-5827,2308-5835,263,14,14,5.8,14.7,34/61
11211,Current Anesthesiology Reports,CURR ANESTHESIOL REP,SPRINGERNATURE,1.4,1.6,1.2,0.56,Q3,ANESTHESIOLOGY|Q2|32/64,N/A,2167-6275,628,13,59,4.1,5.7,36/68
11211,Current Dermatology Reports,CURR DERMATOL REP,SPRINGER,1.4,1.8,1.4,0.56,Q3,DERMATOLOGY|Q2|39/94,2162-4933,2162-4933,640,0,34,6.1,6.1,64/96
11211,Electronic Journal of Information Systems in Developing Countries,ELECTR J INF SYS DEV,WILEY,1.4,1.7,1.2,0.56,Q2,"SOCIAL SCIENCES, INTERDISCIPLINARY|Q2|116/263",1681-4835,1681-4835,1052,34,34,7.7,7.3,98/271
11211,EUROPEAN JOURNAL OF OPHTHALMOLOGY,EUR J OPHTHALMOL,SAGE PUBLICATIONS LTD,1.4,1.7,1.4,0.56,Q3,OPHTHALMOLOGY|Q3|61/95,1120-6721,1724-6016,5671,297,329,4.7,8.4,61/98
11211,FACIAL PLASTIC SURGERY,FACIAL PLAST SURG,THIEME MEDICAL PUBL INC,1.4,1.6,1.2,0.56,Q3,SURGERY|Q3|195/290,0736-6825,1098-8793,2319,122,124,7.7,10.3,182/312
11211,Geoscience Communication,GEOSCI COMMUN,COPERNICUS GESELLSCHAFT MBH,1.4,2.0,1.1,0.56,Q2,,2569-7102,2569-7110,157,20,21,3.4,6.6,326/756
11211,International Journal on Software Tools for Technology Transfer,INT J SOFTW TOOLS TE,SPRINGER HEIDELBERG,1.4,1.7,1.4,0.56,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q4|101/131",1433-2779,1433-2787,842,35,35,7.0,8.7,87/128
11211,JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH,J BEHAV HEALTH SER R,SPRINGER,1.4,2.0,1.4,0.56,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q3|287/403",1094-3412,1556-3308,1412,41,42,7.9,7.1,304/419
11211,Journal of Rational-Emotive and Cognitive-Behavior Therapy,J RATION-EMOT COGN-B,SPRINGER,1.4,1.5,1.3,0.56,Q3,"PSYCHOLOGY, CLINICAL|Q3|106/180",0894-9085,1573-6563,920,26,26,7.9,10.3,119/185
11211,NORTH AMERICAN JOURNAL OF FISHERIES MANAGEMENT,N AM J FISH MANAGE,OXFORD UNIV PRESS,1.4,1.5,1.2,0.56,Q3,FISHERIES|Q3|40/62,0275-5947,1548-8675,4612,100,101,15.6,14.3,37/61
11211,OXFORD BULLETIN OF ECONOMICS AND STATISTICS,OXFORD B ECON STAT,WILEY,1.4,2.3,1.4,0.56,Q2,STATISTICS & PROBABILITY|Q2|43/168,0305-9049,1468-0084,4733,53,53,17.1,10.7,61/167
11211,WOMEN & HEALTH,WOMEN HEALTH,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,1.7,1.3,0.56,Q2,WOMENS STUDIES|Q2|32/66,0363-0242,1541-0331,2261,66,76,8.9,6.8,34/70
11211,ETHOLOGY,ETHOLOGY,WILEY,1.4,1.6,1.2,0.55,Q2,ZOOLOGY|Q2|69/180,0179-1613,1439-0310,4127,69,71,14.3,13.5,69/181
11211,International Journal of Cognitive Therapy,INT J COGN THER,SPRINGER INT PUBL AG,1.4,2.0,1.3,0.55,Q3,"PSYCHOLOGY, CLINICAL|Q3|114/180",1937-1209,1937-1217,1052,22,29,9.4,9.5,119/185
11211,JOURNAL OF BEHAVIORAL DECISION MAKING,J BEHAV DECIS MAKING,WILEY,1.4,2.7,1.2,0.55,Q3,"PSYCHOLOGY, APPLIED|Q3|66/113",0894-3257,1099-0771,3373,49,49,12.9,13.4,75/115
11211,Journal of Social and Political Psychology,J SOC POLIT PSYCHOL,PSYCHOPEN,1.4,2.0,1.4,0.55,Q4,"PSYCHOLOGY, SOCIAL|Q3|50/76",N/A,2195-3325,933,13,14,6.4,8.3,62/78
11211,PEDIATRIC CARDIOLOGY,PEDIATR CARDIOL,SPRINGER,1.4,1.6,1.3,0.55,Q3,PEDIATRICS|Q2|86/186,0172-0643,1432-1971,5618,304,326,8.0,8.1,104/191
11211,SEMINARS IN REPRODUCTIVE MEDICINE,SEMIN REPROD MED,THIEME MEDICAL PUBL INC,1.4,2.7,1.4,0.55,Q3,REPRODUCTIVE BIOLOGY|Q3|28/39,1526-8004,1526-4564,2359,26,30,10.8,7.0,94/140
11211,VISUAL COGNITION,VIS COGN,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,2.2,1.4,0.55,Q4,"PSYCHOLOGY, EXPERIMENTAL|Q3|60/99",1350-6285,1464-0716,2172,77,77,12.6,12.0,81/102
11211,ACTA PHARMACEUTICA,ACTA PHARMACEUT,SCIENDO,1.4,2.4,1.4,0.54,Q4,PHARMACOLOGY & PHARMACY|Q3|210/354,1330-0075,1846-9558,1446,36,43,8.8,8.3,280/352
11211,American Journal of Hospice & Palliative Medicine,AM J HOSP PALLIAT ME,SAGE PUBLICATIONS INC,1.4,2.1,1.3,0.54,Q4,HEALTH CARE SCIENCES & SERVICES|Q3|120/174,1049-9091,1938-2715,4056,162,164,5.7,7.0,142/185
11211,CANADIAN PUBLIC POLICY-ANALYSE DE POLITIQUES,CAN PUBLIC POL,UNIV TORONTO PRESS INC,1.4,1.9,0.9,0.54,Q3,PUBLIC ADMINISTRATION|Q3|53/91,0317-0861,1911-9917,1008,31,31,9.4,8.1,309/617
11211,JOURNAL OF CONTINUING EDUCATION IN NURSING,J CONTIN EDUC NURS,SLACK INC,1.4,1.4,1.2,0.54,Q3,NURSING|Q3|129/191,0022-0124,1938-2472,1414,83,87,7.2,5.2,110/192
11211,LETTERS IN MATHEMATICAL PHYSICS,LETT MATH PHYS,SPRINGER,1.4,1.4,1.2,0.54,Q3,"PHYSICS, MATHEMATICAL|Q3|34/60",0377-9017,1573-0530,3247,132,132,14.0,17.0,34/61
11211,PHARMACEUTICAL STATISTICS,PHARM STAT,WILEY,1.4,1.6,1.1,0.54,Q2,STATISTICS & PROBABILITY|Q2|65/168,1539-1604,1539-1612,2221,88,89,11.3,10.0,61/167
11211,PROSTHETICS AND ORTHOTICS INTERNATIONAL,PROSTHET ORTHOT INT,WOLTERS KLUWER HEALTH,1.4,1.9,1.3,0.54,Q3,REHABILITATION|Q4|141/169,0309-3646,1746-1553,2720,75,89,10.3,10.1,96/173
11211,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,Q J EXP PSYCHOL,SAGE PUBLICATIONS LTD,1.4,1.8,1.3,0.54,Q3,"PSYCHOLOGY, EXPERIMENTAL|Q4|75/99",1747-0218,1747-0226,6840,168,168,9.8,12.9,65/93
11211,Translation & Interpreting-The International Journal of Translation and Interpreting,TRANSL INTERPRET,"UNIV WESTERN SYDNEY, INTERPRETING & TRANSLATION RESEARCH GROUP",1.4,1.6,1.4,0.54,Q2,LINGUISTICS|Q2|106/297,1836-9324,1836-9324,373,17,17,6.7,11.1,94/303
11211,DEVELOPING ECONOMIES,DEV ECON,WILEY,1.4,1.6,1.3,0.53,Q3,ECONOMICS|Q2|152/597,0012-1533,1746-1049,474,15,15,15.9,10.2,309/617
11211,International Journal of Nephrology,INT J NEPHROL,HINDAWI LTD,1.4,1.9,1.4,0.53,Q3,UROLOGY & NEPHROLOGY|Q3|74/126,2090-214X,2090-2158,847,12,14,8.9,10.4,85/133
11211,Journal of Medical Imaging and Radiation Oncology,J MED IMAG RADIAT ON,WILEY,1.4,1.9,1.3,0.53,Q3,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q2|91/204",1754-9477,1754-9485,2168,96,113,5.7,7.0,147/212
11211,JOURNAL OF THE AMERICAN HELICOPTER SOCIETY,J AM HELICOPTER SOC,AMER HELICOPTER SOC INC,1.4,1.5,1.2,0.53,Q3,"ENGINEERING, AEROSPACE|Q2|22/52",0002-8711,2161-6027,1423,42,42,15.7,9.6,31/55
11211,Nursing Education Perspectives,NURS EDUC PERSPECT,LIPPINCOTT WILLIAMS & WILKINS,1.4,1.4,1.4,0.53,Q2,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756,1536-5026,1943-4685,2078,119,119,6.6,5.5,326/756
11211,SCANDINAVIAN JOURNAL OF CLINICAL & LABORATORY INVESTIGATION,SCAND J CLIN LAB INV,TAYLOR & FRANCIS LTD,1.4,1.6,1.3,0.53,Q3,"MEDICINE, RESEARCH & EXPERIMENTAL|Q4|148/189",0036-5513,1502-7686,3437,82,83,14.1,8.1,19/33
11211,SOUTHERN ECONOMIC JOURNAL,SOUTH ECON J,WILEY,1.4,1.4,1.3,0.53,Q3,ECONOMICS|Q2|241/597,0038-4038,2325-8012,2244,64,64,17.2,10.8,309/617
11211,CLINICAL BIOMECHANICS,CLIN BIOMECH,ELSEVIER SCI LTD,1.4,1.8,1.3,0.52,Q3,SPORT SCIENCES|Q3|78/127,0268-0033,1879-1271,9451,161,167,13.0,9.5,88/139
11211,Issues in Mental Health Nursing,ISSUES MENT HEALTH N,TAYLOR & FRANCIS INC,1.4,2.1,1.2,0.52,Q3,PSYCHIATRY|Q3|177/276,0161-2840,1096-4673,3636,110,129,8.3,6.5,110/192
11211,Journal of Sport Psychology in Action,J SPORT PSYCHOL ACTI,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,2.2,1.2,0.52,Q3,"PSYCHOLOGY, APPLIED|Q3|82/113",2152-0704,2152-0712,531,29,29,5.9,5.9,75/115
11211,MOLECULAR VISION,MOL VIS,MOLECULAR VISION,1.4,2.0,1.4,0.52,Q3,OPHTHALMOLOGY|Q3|49/95,1090-0535,N/A,4562,37,39,13.1,10.0,61/98
11211,Neurochirurgie,NEUROCHIRURGIE,MASSON EDITEUR,1.4,1.6,1.3,0.52,Q3,SURGERY|Q3|153/290,0028-3770,1773-0619,1556,47,70,6.7,10.2,182/312
11211,Open Praxis,OPEN PRAX,INT COUNCIL OPEN & DISTANCE EDUCATION,1.4,1.8,0.7,0.52,Q2,EDUCATION & EDUCATIONAL RESEARCH|Q3|457/756,2304-070X,2304-070X,491,46,46,5.1,4.9,326/756
11211,ACCOUNTING AND BUSINESS RESEARCH,ACCOUNT BUS RES,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,2.6,1.3,0.51,Q3,"BUSINESS, FINANCE|Q2|100/231",0001-4788,2159-4260,2199,28,28,10.7,13.5,148/241
11211,International Journal for Multiscale Computational Engineering,INT J MULTISCALE COM,BEGELL HOUSE INC,1.4,1.0,1.3,0.51,Q3,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q3|80/135",1543-1649,1940-4352,500,33,33,9.5,7.5,90/175
11211,Journal of Animal Behaviour and Biometeorology,J ANIM BEHAV BIOMETE,MALQUE PUBLISHING,1.4,1.4,1.3,0.51,Q3,"AGRICULTURE, DAIRY & ANIMAL SCIENCE|Q2|25/80",N/A,2318-1265,355,32,34,4.3,9.6,46/86
11211,PEDIATRIC TRANSPLANTATION,PEDIATR TRANSPLANT,WILEY,1.4,1.4,1.2,0.51,Q3,TRANSPLANTATION|Q3|22/31,1397-3142,1399-3046,3851,158,186,6.8,8.1,104/191
11211,QUARTERLY JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING,Q J NUCL MED MOL IM,EDIZIONI MINERVA MEDICA,1.4,1.2,1.4,0.51,Q3,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING|Q3|138/204",1824-4785,1827-1936,727,16,26,9.2,7.1,147/212
11211,South African Geographical Journal,S AFR GEOGR J,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,1.8,1.4,0.51,Q2,GEOGRAPHY|Q3|94/171,0373-6245,2151-2418,575,33,33,6.5,8.9,81/173
11211,Surgical Infections,SURG INFECT,"MARY ANN LIEBERT, INC",1.4,1.8,1.3,0.51,Q3,SURGERY|Q3|165/290,1096-2964,1557-8674,3138,114,122,7.5,7.6,182/312
11211,Australian Health Review,AUST HEALTH REV,CSIRO PUBLISHING,1.4,1.8,1.3,0.50,Q4,HEALTH POLICY & SERVICES|Q4|93/118,0156-5788,1449-8944,2504,115,117,7.1,5.1,142/185
11211,Evolutionary Behavioral Sciences,EVOL BEHAV SCI,AMER PSYCHOLOGICAL ASSOC,1.4,1.4,1.3,0.50,Q3,PSYCHOLOGY|Q4|73/92,2330-2925,2330-2933,440,26,26,5.1,10.9,65/93
11211,Journal of Clinical Sport Psychology,J CLIN SPORT PSYCHOL,HUMAN KINETICS PUBL INC,1.4,1.9,1.2,0.50,Q3,"PSYCHOLOGY, APPLIED|Q3|76/113",1932-9261,1932-927X,852,23,24,7.2,10.0,75/115
11211,JOURNAL OF MATHEMATICAL PHYSICS,J MATH PHYS,AIP Publishing,1.4,1.4,1.2,0.50,Q3,"PHYSICS, MATHEMATICAL|Q3|37/60",0022-2488,1089-7658,21557,371,371,23.6,14.9,34/61
11211,NUCLEAR INSTRUMENTS & METHODS IN PHYSICS RESEARCH SECTION A-ACCELERATORS SPECTROMETERS DETECTORS AND ASSOCIATED EQUIPMENT,NUCL INSTRUM METH A,ELSEVIER,1.4,1.4,1.1,0.50,Q3,"PHYSICS, PARTICLES & FIELDS|Q3|18/30",0168-9002,1872-9576,29589,944,951,13.0,9.0,24/41
11211,PHYCOLOGIA,PHYCOLOGIA,TAYLOR & FRANCIS LTD,1.4,1.8,1.4,0.50,Q3,PLANT SCIENCES|Q3|148/265,0031-8884,2330-2968,2820,37,38,16.0,12.4,65/119
11211,FINANCE AND STOCHASTICS,FINANC STOCH,SPRINGER HEIDELBERG,1.4,1.8,1.3,0.49,Q2,STATISTICS & PROBABILITY|Q3|85/168,0949-2984,1432-1122,1310,29,29,13.3,13.6,61/167
11211,International Journal of Mental Health Promotion,INT J MENT HEALTH PR,TECH SCIENCE PRESS,1.4,1.3,1.3,0.49,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|340/403",1462-3730,2049-8543,598,91,95,3.7,7.6,207/288
11211,Journal of Borderlands Studies,J BORDERL STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,1.5,1.2,0.49,Q2,GEOGRAPHY|Q2|78/171,0886-5655,2159-1229,817,60,60,5.5,9.1,81/173
11211,Journal of Personnel Psychology,J PERS PSYCHOL,HOGREFE PUBLISHING CORP,1.4,2.0,1.4,0.49,Q3,"PSYCHOLOGY, APPLIED|Q2|56/113",1866-5888,2190-5150,803,14,14,10.0,12.6,75/115
11211,Journal of the Intensive Care Society,J INTENSIVE CARE SOC,SAGE PUBLICATIONS LTD,1.4,N/A,1.3,0.49,Q3,CRITICAL CARE MEDICINE|Q3|29/54,1751-1437,1751-1437,919,37,41,5.1,6.7,44/62
11211,Journal of the Turkish-German Gynecological Association,J TURK-GER GYNECOL A,GALENOS PUBL HOUSE,1.4,1.4,1.4,0.49,Q3,OBSTETRICS & GYNECOLOGY|Q3|98/136,1309-0399,1309-0380,662,33,37,6.7,8.0,94/140
11211,FORMAL ASPECTS OF COMPUTING,FORM ASP COMPUT,ASSOC COMPUTING MACHINERY,1.4,1.3,1.3,0.48,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q3|88/131",0934-5043,1433-299X,471,25,25,9.2,11.5,87/128
11211,HIGH ALTITUDE MEDICINE & BIOLOGY,HIGH ALT MED BIOL,"MARY ANN LIEBERT, INC",1.4,1.5,1.2,0.48,Q3,SPORT SCIENCES|Q3|67/127,1527-0297,1557-8682,1737,54,61,10.4,10.1,86/133
11211,Iranian Journal of Science,IRAN J SCI,SPRINGER INT PUBL AG,1.4,1.4,1.2,0.48,Q3,,2731-8095,2731-8109,293,196,198,1.3,8.5,68/135
11211,ISRA International Journal of Islamic Finance,ISRA INT J ISLAMIC F,INT SHARIAH RESEARCH ACAD ISLAMIC FINANCE RES MANAGEMENT CTR - ISRA RMC,1.4,2.1,1.4,0.48,Q3,"BUSINESS, FINANCE|Q2|67/231",0128-1976,2289-4365,412,20,20,5.2,7.1,148/241
11211,JOURNAL OF BIOLOGICAL EDUCATION,J BIOL EDUC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,1.5,1.2,0.48,Q2,"EDUCATION, SCIENTIFIC DISCIPLINES|Q3|56/85",0021-9266,2157-6009,1183,45,47,7.0,10.2,326/756
11211,Journal of Zoological and Botanical Gardens,J ZOOL BOT GARD,MDPI,1.4,1.6,1.2,0.48,Q3,BIODIVERSITY CONSERVATION|Q2|30/74,N/A,2673-5636,277,43,52,2.6,11.0,44/73
11211,OPTIMIZATION METHODS & SOFTWARE,OPTIM METHOD SOFTW,TAYLOR & FRANCIS LTD,1.4,1.8,1.3,0.48,Q2,OPERATIONS RESEARCH & MANAGEMENT SCIENCE|Q3|74/106,1055-6788,1029-4937,2120,74,75,11.5,11.7,118/343
11211,Revista de Educacion,REV EDUC-MADRID,MINISTRY EDUCATION & SCIENCE,1.4,1.6,1.3,0.48,Q2,EDUCATION & EDUCATIONAL RESEARCH|Q2|193/756,0034-8082,1988-592X,1099,35,39,11.1,7.3,326/756
11211,Annals of Transplantation,ANN TRANSPL,"INT SCIENTIFIC INFORMATION, INC",1.4,1.3,1.4,0.47,Q3,TRANSPLANTATION|Q3|23/31,1425-9524,N/A,1186,53,55,7.3,7.8,182/312
11211,Fottea,FOTTEA,CZECH PHYCOLOGICAL SOC,1.4,1.8,1.2,0.47,Q3,PLANT SCIENCES|Q3|148/265,1802-5439,N/A,504,17,17,7.3,13.5,162/273
11211,International Journal of Aeronautical and Space Sciences,INT J AERONAUT SPACE,SPRINGER,1.4,1.6,1.2,0.47,Q3,"ENGINEERING, AEROSPACE|Q2|22/52",2093-274X,2093-2480,1334,164,164,4.5,8.7,31/55
11211,International Journal of System Assurance Engineering and Management,INT J SYST ASSUR ENG,SPRINGER INDIA,1.4,1.6,1.3,0.47,Q3,"ENGINEERING, MULTIDISCIPLINARY|Q2|73/179",0975-6809,0976-4348,3006,392,421,3.6,5.9,90/175
11211,JOURNAL OF LABOR RESEARCH,J LABOR RES,SPRINGER,1.4,1.3,1.3,0.47,Q3,INDUSTRIAL RELATIONS & LABOR|Q3|31/49,0195-3613,1936-4768,550,12,13,15.6,9.6,29/52
11211,JOURNAL OF MANIPULATIVE AND PHYSIOLOGICAL THERAPEUTICS,J MANIP PHYSIOL THER,MOSBY-ELSEVIER,1.4,1.6,1.3,0.47,Q3,REHABILITATION|Q3|112/169,0161-4754,N/A,3398,20,22,12.9,10.9,96/173
11211,LARYNGO-RHINO-OTOLOGIE,LARYNGO RHINO OTOL,GEORG THIEME VERLAG KG,1.4,0.9,1.1,0.47,Q2,OTORHINOLARYNGOLOGY|Q3|48/65,0935-8943,1438-8685,886,48,48,9.5,7.7,30/67
11211,On the Horizon,HORIZON-UK,EMERALD GROUP PUBLISHING LTD,1.4,2.1,1.2,0.47,Q2,EDUCATION & EDUCATIONAL RESEARCH|Q2|257/756,1074-8121,2054-1708,760,19,22,23.0,6.5,326/756
11211,Willdenowia,WILLDENOWIA,BOTANISCHER GARTEN & BOTANISCHE MUSEUM BERLIN-DAHLEM,1.4,1.3,1.3,0.47,Q3,PLANT SCIENCES|Q2|125/265,0511-9618,N/A,706,7,7,12.6,14.8,162/273
11211,CANADIAN PUBLIC ADMINISTRATION-ADMINISTRATION PUBLIQUE DU CANADA,CAN PUBLIC ADMIN,WILEY,1.4,1.2,1.0,0.46,Q3,PUBLIC ADMINISTRATION|Q3|64/91,0008-4840,1754-7121,609,42,42,7.8,5.9,57/90
11211,Case Studies in Sport and Exercise Psychology,CASE STUD SPORT EX P,HUMAN KINETICS PUBL INC,1.4,N/A,0.8,0.46,Q3,,2470-4849,2470-4857,97,17,17,N/A,7.4,86/133
11211,Cognitive Processing,COGN PROCESS,SPRINGER HEIDELBERG,1.4,1.8,1.4,0.46,Q4,"PSYCHOLOGY, EXPERIMENTAL|Q3|60/99",1612-4782,1612-4790,1893,70,74,9.8,11.6,81/102
11211,Community Development,COMMUNITY DEV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1.4,1.6,1.1,0.46,Q3,DEVELOPMENT STUDIES|Q3|43/63,1557-5330,1944-7485,1012,50,50,8.4,8.2,37/65
11211,European Clinical Respiratory Journal,EUR CLIN RESPIR J,TAYLOR & FRANCIS LTD,1.4,1.4,1.4,0.46,Q3,RESPIRATORY SYSTEM|Q3|69/100,2001-8525,2001-8525,385,24,26,7.2,8.1,79/108
11211,FISHERIES SCIENCE,FISHERIES SCI,SPRINGER JAPAN KK,1.4,1.8,1.3,0.46,Q3,FISHERIES|Q3|37/62,0919-9268,1444-2906,3984,84,86,14.2,12.5,37/61
11211,FOREST SCIENCE,FOREST SCI,SPRINGERNATURE,1.4,1.4,1.4,0.46,Q3,FORESTRY|Q2|40/89,0015-749X,1938-3738,3931,30,30,20.3,10.4,47/92
11211,GULF AND CARIBBEAN RESEARCH,GULF CARIBB RES,UNIV SOUTHERN MISSISSIPPI,1.4,1.1,1.2,0.46,Q3,MARINE & FRESHWATER BIOLOGY|Q3|61/119,1528-0470,2572-1410,220,16,16,15.2,11.4,65/119
11211,International Journal of AEROSPACE Psychology,INT J AEROSP PSYCHOL,TAYLOR & FRANCIS INC,1.4,1.3,1.4,0.46,Q3,"PSYCHOLOGY, APPLIED|Q4|85/113",2472-1832,2472-1840,184,9,10,4.2,12.0,75/115
11211,International Journal of Occupational Medicine and Environmental Health,INT J OCCUP MED ENV,"NOFER INST OCCUPATIONAL MEDICINE, POLAND",1.4,1.7,1.4,0.46,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q3|295/403",1232-1087,1896-494X,1700,42,47,8.9,7.4,304/419
11211,Journal of Behavioral and Experimental Economics,J BEHAV EXP ECON,ELSEVIER SCIENCE INC,1.4,1.8,1.3,0.46,Q3,ECONOMICS|Q2|273/597,2214-8043,2214-8051,1743,123,123,5.2,10.2,309/617
11211,JOURNAL OF ELASTICITY,J ELASTICITY,SPRINGER,1.4,1.6,1.3,0.46,Q3,MECHANICS|Q3|103/170,0374-3535,1573-2681,3424,47,47,17.6,13.4,90/175
11211,JOURNAL OF ENGINEERING MATHEMATICS,J ENG MATH,SPRINGER,1.4,1.4,1.4,0.46,Q3,"MATHEMATICS, INTERDISCIPLINARY APPLICATIONS|Q3|80/135",0022-0833,1573-2703,2228,96,96,14.5,13.0,90/175
11211,Noise & Health,NOISE HEALTH,WOLTERS KLUWER MEDKNOW PUBLICATIONS,1.4,1.5,1.3,0.46,Q3,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH|Q4|311/403",1463-1741,1998-4030,1272,78,83,11.4,4.3,19/35
11211,THORACIC AND CARDIOVASCULAR SURGEON,THORAC CARDIOV SURG,GEORG THIEME VERLAG KG,1.4,1.4,1.3,0.46,Q3,SURGERY|Q3|177/290,0171-6425,1439-1902,2141,80,83,8.2,7.5,182/312
11211,BOTANICA MARINA,BOT MAR,WALTER DE GRUYTER GMBH,1.4,2.1,1.2,0.45,Q3,PLANT SCIENCES|Q3|138/265,0006-8055,1437-4323,2433,48,52,15.9,10.9,65/119
11211,ECOLOGICAL RESEARCH,ECOL RES,WILEY,1.4,2.0,1.3,0.45,Q3,ECOLOGY|Q3|123/195,0912-3814,1440-1703,4286,90,95,12.5,11.8,142/200
11211,IEEE COMPUTER GRAPHICS AND APPLICATIONS,IEEE COMPUT GRAPH,IEEE COMPUTER SOC,1.4,2.1,1.3,0.45,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q3|73/131",0272-1716,1558-1756,3119,74,74,15.4,5.8,87/128
11211,International Journal for Computational Methods in Engineering Science & Mechanics,INT J COMPUT METH EN,TAYLOR & FRANCIS INC,1.4,1.5,1.3,0.45,Q3,MECHANICS|Q3|87/170,1550-2287,1550-2295,611,32,32,6.7,11.4,123/171
11211,INTERNATIONAL JOURNAL OF AUDITING,INT J AUDIT,WILEY,1.4,2.6,1.2,0.45,Q3,"BUSINESS, FINANCE|Q2|93/231",1090-6738,1099-1123,1133,26,26,7.7,9.1,148/241
11211,JOURNAL OF AGRICULTURAL AND RESOURCE ECONOMICS,J AGR RESOUR ECON,WESTERN AGRICULTURAL ECONOMICS ASSOC,1.4,1.6,1.4,0.45,Q3,ECONOMICS|Q3|341/597,1068-5502,2327-8285,1051,29,29,12.4,11.4,309/617
11211,ONCOLOGY NURSING FORUM,ONCOL NURS FORUM,ONCOLOGY NURSING SOC,1.4,2.2,1.3,0.45,Q3,ONCOLOGY|Q4|253/322,0190-535X,1538-0688,3576,31,35,10.7,6.1,110/192
11211,SCIENCE OF COMPUTER PROGRAMMING,SCI COMPUT PROGRAM,ELSEVIER,1.4,1.4,1.3,0.45,Q3,"COMPUTER SCIENCE, SOFTWARE ENGINEERING|Q3|82/131",0167-6423,1872-7964,1644,100,101,9.7,7.7,87/128
11211,Social Theory & Health,SOC THEOR HEALTH,PALGRAVE MACMILLAN LTD,1.4,2.0,1.4,0.45,Q3,"SOCIAL SCIENCES, BIOMEDICAL|Q4|37/46",1477-8211,1477-822X,755,15,15,7.5,10.0,36/48
11211,Brain Hemorrhages,BRAIN HEMORRHAGES,KEAI PUBLISHING LTD,1.4,1.9,1.0,0.44,Q4,CLINICAL NEUROLOGY|Q4|221/277,N/A,2589-238X,257,33,45,3.2,6.4,222/285
11211,Clinical Psychologist,CLIN PSYCHOL-UK,TAYLOR & FRANCIS LTD,1.4,1.9,1.4,0.44,Q3,"PSYCHOLOGY, CLINICAL|Q3|127/180",1328-4207,1742-9552,759,23,30,7.2,9.2,119/185
11211,INTERNATIONAL JOURNAL OF INDUSTRIAL ORGANIZATION,INT J IND ORGAN,ELSEVIER,1.4,1.7,1.4,0.44,Q3,ECONOMICS|Q2|256/597,0167-7187,1873-7986,2910,39,40,14.9,11.5,309/617
